index,x,y
0,92,8.63157894736842
1,760,5.539473684210524
2,894,6.19736842105263
3,977,6.421052631578949
4,1115,6.894736842105264
5,1201,6.460526315789473
6,1323,7.065789473684212
7,1380,37.13157894736842
8,1419,42.644736842105274
9,1570,7.0131578947368425
10,1781,10.80263157894737
11,1891,6.55263157894737
12,2003,12.039473684210527
13,2112,7.69736842105263
14,2230,11.486842105263158
15,2306,15.828947368421055
16,2331,7.684210526315788
17,2454,9.55263157894737
18,2537,8.894736842105265
19,2547,11.236842105263158
20,2748,7.223684210526315
21,2800,38.46052631578947
22,2840,39.01315789473685
23,2854,10.89473684210526
24,2864,5.552631578947368
25,3055,12.592105263157897
26,3082,5.855263157894733
27,3130,13.065789473684209
28,3398,6.486842105263154
29,3408,6.39473684210526
30,3439,9.105263157894736
31,3471,6.210526315789476
32,3651,7.5131578947368425
33,3822,5.69736842105263
34,3857,6.69736842105263
35,3887,6.171052631578945
36,3920,5.960526315789473
37,3941,6.19736842105263
38,92,46.434210526315795
39,891,43.85526315789474
40,977,47.276315789473685
41,1115,45.315789473684205
42,1323,43.56578947368421
43,1380,74.59210526315789
44,1419,81.67105263157895
45,1570,45.131578947368425
46,1782,47.78947368421053
47,1892,44.078947368421055
48,2003,49.26315789473684
49,2111,45.368421052631575
50,2229,46.934210526315795
51,2309,48.42105263157895
52,2331,48.11842105263158
53,2453,48.34210526315789
54,2537,45.64473684210526
55,2800,77.48684210526315
56,2839,77.35526315789474
57,2854,48.776315789473685
58,3055,52.10526315789474
59,3130,48.84210526315789
60,3472,43.618421052631575
61,3494,43.39473684210526
62,92,84.59210526315789
63,890,82.0
64,977,82.90789473684211
65,1104,82.15789473684211
66,1116,82.84210526315789
67,1379,113.17105263157895
68,1419,119.22368421052632
69,1570,84.23684210526315
70,1782,86.84210526315789
71,1892,82.46052631578948
72,2004,87.92105263157895
73,2015,81.39473684210526
74,2111,82.44736842105263
75,2230,86.73684210526316
76,2332,83.60526315789474
77,2453,84.11842105263159
78,2536,85.23684210526315
79,2546,84.53947368421052
80,2666,81.97368421052632
81,2734,81.80263157894737
82,2748,82.47368421052632
83,2800,114.26315789473685
84,2839,114.68421052631578
85,2854,87.01315789473685
86,2874,82.25
87,3055,86.75
