index,x,y
279,1379,417.7105263157895
280,1419,423.82894736842104
281,1450,386.38157894736844
282,1645,389.32894736842104
283,1754,386.0657894736842
284,1853,392.5
285,1963,388.9868421052632
286,2071,390.64473684210526
287,2177,387.13157894736844
288,2292,389.75
289,2393,388.14473684210526
290,2510,388.92105263157896
291,2589,386.94736842105266
292,2600,387.7368421052632
293,2717,386.2236842105263
294,2799,424.35526315789474
295,2839,418.8421052631579
296,2927,394.42105263157896
297,3001,386.6578947368421
298,3125,390.38157894736844
299,3199,386.9473684210526
300,166,427.7763157894737
301,955,426.1842105263158
302,1037,425.0
303,1171,426.05263157894734
304,1379,455.9868421052632
305,1419,461.35526315789474
306,1449,424.30263157894734
307,1646,427.7236842105263
308,1755,423.61842105263156
309,1853,431.07894736842104
310,1962,423.8157894736842
311,2071,430.36842105263156
312,2176,424.4868421052632
313,2293,426.5657894736842
314,2393,426.17105263157896
315,2510,426.9868421052632
316,2589,424.4342105263158
317,2602,425.1973684210526
318,2799,464.89473684210526
319,2839,456.5657894736842
320,2927,431.63157894736844
321,3001,423.9868421052632
322,3124,429.9605263157895
323,3198,424.86842105263156
324,164,465.69736842105266
325,954,462.67105263157896
326,1038,462.2368421052632
327,1172,463.42105263157896
328,1379,493.82894736842104
329,1420,499.38157894736844
330,1450,462.0657894736842
331,1647,465.4342105263158
332,1854,468.5131578947368
333,1963,464.5657894736842
334,2072,467.5263157894737
335,2179,464.4078947368421
336,2293,467.3157894736842
337,2392,465.0263157894737
338,2510,464.4473684210526
339,2589,461.67105263157896
340,2601,464.1842105263158
341,2718,462.39473684210526
342,2799,502.67105263157896
343,2839,494.7631578947368
344,2927,468.8157894736842
345,3125,467.82894736842104
346,3199,463.7368421052632
347,3645,461.9736842105263
348,164,504.2894736842105
349,956,501.0921052631579
350,1038,500.2105263157895
351,1172,501.19736842105266
352,1257,500.5263157894737
353,1379,533.5526315789474
354,1419,537.5526315789474
355,1646,504.0263157894737
356,1854,505.7631578947368
357,1964,500.14473684210526
358,2071,504.7763157894737
359,2178,502.05263157894734
360,2293,504.67105263157896
361,2311,499.7236842105263
362,2394,502.05263157894734
363,2510,501.3157894736842
364,2602,501.9473684210526
365,2718,499.5657894736842
366,2799,542.0263157894736
367,2840,533.6973684210526
368,2927,508.64473684210526
369,3125,505.10526315789474
370,3199,502.2894736842105
371,166,541.5526315789474
372,847,538.3157894736842
373,955,539.5131578947369
374,1039,538.1842105263158
375,1172,539.5657894736842
376,1379,571.5657894736842
377,1419,575.1973684210526
378,1452,537.7236842105264
379,1648,540.8421052631579
380,1855,544.4342105263158
381,1964,538.2105263157895
382,2072,542.6842105263158
383,2178,539.328947368421
384,2293,541.7368421052631
385,2393,540.2368421052631
386,2511,539.1842105263158
387,2602,540.0263157894736
388,2718,538.0526315789474
389,2799,579.9078947368421
390,2839,571.2763157894736
391,2927,545.4473684210526
392,3125,542.5131578947369
393,3200,539.4342105263158
394,3645,537.75
395,166,579.171052631579
396,955,577.5657894736842
397,1039,576.3157894736842
398,1175,576.5131578947369
399,1379,609.9736842105264
400,1419,613.3684210526316
401,1452,575.921052631579
402,1648,581.0657894736842
403,1757,575.7368421052631
404,1855,583.1184210526316
405,2073,580.8684210526316
406,2179,578.6052631578947
407,2294,580.6842105263158
408,2394,579.6315789473684
409,2511,577.4342105263158
410,2603,577.8026315789474
411,2718,575.5394736842105
412,2799,619.1315789473684
413,2839,609.75
414,2927,582.3157894736842
415,3125,581.1578947368421
416,3200,577.1184210526316
417,166,618.0263157894736
418,956,615.6578947368421
419,1040,614.6973684210526
420,1174,615.0526315789474
421,1257,613.5921052631579
422,1379,649.921052631579
423,1419,651.421052631579
424,1452,613.6184210526316
425,1648,617.2105263157895
426,1758,614.2236842105264
427,1856,621.1578947368421
428,1871,613.5657894736842
429,1964,614.7236842105264
430,2073,619.1447368421053
431,2178,615.3421052631579
432,2294,618.1842105263158
433,2394,615.9473684210526
434,2512,615.0131578947369
